frozenset(['maint_low']),frozenset(['lug_boot_big']),0.33333333333333337
frozenset(['lug_boot_big']),frozenset(['maint_low']),0.25
frozenset(['maint_high']),frozenset(['lug_boot_big']),0.33333333333333337
frozenset(['lug_boot_big']),frozenset(['maint_high']),0.25
frozenset(['persons_2']),frozenset(['maint_vhigh']),0.25
frozenset(['maint_vhigh']),frozenset(['persons_2']),0.33333333333333337
frozenset(['doors_3']),frozenset(['maint_high']),0.25
frozenset(['maint_high']),frozenset(['doors_3']),0.25
frozenset(['class_v_good']),frozenset(['buying_low']),0.6
frozenset(['doors_2']),frozenset(['safety_low']),0.33333333333333337
frozenset(['safety_low']),frozenset(['doors_2']),0.25
frozenset(['class_good']),frozenset(['lug_boot_med']),0.34782608695652173
frozenset(['class_unacc']),frozenset(['persons_more']),0.26611570247933886
frozenset(['persons_more']),frozenset(['class_unacc']),0.5590277777777778
frozenset(['class_acc']),frozenset(['doors_5_more']),0.265625
frozenset(['doors_5_more']),frozenset(['class_acc']),0.23611111111111113
frozenset(['class_unacc']),frozenset(['doors_3']),0.24793388429752067
frozenset(['doors_3']),frozenset(['class_unacc']),0.6944444444444445
frozenset(['doors_5_more']),frozenset(['buying_low']),0.25
frozenset(['buying_low']),frozenset(['doors_5_more']),0.25
frozenset(['class_v_good']),frozenset(['maint_low']),0.4
frozenset(['maint_high']),frozenset(['buying_med']),0.25
frozenset(['buying_med']),frozenset(['maint_high']),0.25
frozenset(['persons_2']),frozenset(['safety_med']),0.3333333333333333
frozenset(['safety_med']),frozenset(['persons_2']),0.3333333333333333
frozenset(['buying_vhigh']),frozenset(['lug_boot_small']),0.33333333333333337
frozenset(['lug_boot_small']),frozenset(['buying_vhigh']),0.25
frozenset(['lug_boot_small']),frozenset(['persons_2']),0.3333333333333333
frozenset(['persons_2']),frozenset(['lug_boot_small']),0.3333333333333333
frozenset(['maint_high']),frozenset(['persons_more']),0.33333333333333337
frozenset(['persons_more']),frozenset(['maint_high']),0.25
frozenset(['class_good']),frozenset(['buying_low']),0.6666666666666666
frozenset(['buying_low']),frozenset(['class_good']),0.10648148148148148
frozenset(['class_acc']),frozenset(['safety_med']),0.46875
frozenset(['safety_med']),frozenset(['class_acc']),0.31249999999999994
frozenset(['safety_high']),frozenset(['buying_high']),0.25
frozenset(['buying_high']),frozenset(['safety_high']),0.33333333333333337
frozenset(['class_acc']),frozenset(['lug_boot_small']),0.2734375
frozenset(['lug_boot_small']),frozenset(['class_acc']),0.18229166666666666
frozenset(['doors_4']),frozenset(['buying_med']),0.25
frozenset(['buying_med']),frozenset(['doors_4']),0.25
frozenset(['buying_vhigh']),frozenset(['doors_5_more']),0.25
frozenset(['doors_5_more']),frozenset(['buying_vhigh']),0.25
frozenset(['safety_high']),frozenset(['maint_high']),0.25
frozenset(['maint_high']),frozenset(['safety_high']),0.33333333333333337
frozenset(['safety_med']),frozenset(['doors_4']),0.25
frozenset(['doors_4']),frozenset(['safety_med']),0.33333333333333337
frozenset(['class_v_good']),frozenset(['persons_4']),0.4615384615384616
frozenset(['safety_low']),frozenset(['persons_4']),0.3333333333333333
frozenset(['persons_4']),frozenset(['safety_low']),0.3333333333333333
frozenset(['persons_more']),frozenset(['buying_low']),0.25
frozenset(['buying_low']),frozenset(['persons_more']),0.33333333333333337
frozenset(['safety_high']),frozenset(['class_unacc']),0.48090277777777773
frozenset(['class_unacc']),frozenset(['safety_high']),0.22892561983471071
frozenset(['doors_3']),frozenset(['buying_med']),0.25
frozenset(['buying_med']),frozenset(['doors_3']),0.25
frozenset(['class_v_good']),frozenset(['doors_4']),0.3076923076923077
frozenset(['persons_more']),frozenset(['maint_vhigh']),0.25
frozenset(['maint_vhigh']),frozenset(['persons_more']),0.33333333333333337
frozenset(['maint_med']),frozenset(['buying_vhigh']),0.25
frozenset(['buying_vhigh']),frozenset(['maint_med']),0.25
frozenset(['safety_med']),frozenset(['lug_boot_big']),0.3333333333333333
frozenset(['lug_boot_big']),frozenset(['safety_med']),0.3333333333333333
frozenset(['buying_vhigh']),frozenset(['class_unacc']),0.8333333333333333
frozenset(['class_unacc']),frozenset(['buying_vhigh']),0.29752066115702475
frozenset(['persons_2']),frozenset(['doors_4']),0.25
frozenset(['doors_4']),frozenset(['persons_2']),0.33333333333333337
frozenset(['safety_high']),frozenset(['persons_more']),0.3333333333333333
frozenset(['persons_more']),frozenset(['safety_high']),0.3333333333333333
frozenset(['buying_vhigh']),frozenset(['maint_high']),0.25
frozenset(['maint_high']),frozenset(['buying_vhigh']),0.25
frozenset(['doors_2']),frozenset(['buying_med']),0.25
frozenset(['buying_med']),frozenset(['doors_2']),0.25
frozenset(['doors_3']),frozenset(['lug_boot_big']),0.33333333333333337
frozenset(['lug_boot_big']),frozenset(['doors_3']),0.25
frozenset(['maint_vhigh']),frozenset(['buying_med']),0.25
frozenset(['buying_med']),frozenset(['maint_vhigh']),0.25
frozenset(['persons_4']),frozenset(['lug_boot_big']),0.3333333333333333
frozenset(['lug_boot_big']),frozenset(['persons_4']),0.3333333333333333
frozenset(['class_good']),frozenset(['safety_med']),0.5652173913043478
frozenset(['maint_high']),frozenset(['doors_4']),0.25
frozenset(['doors_4']),frozenset(['maint_high']),0.25
frozenset(['safety_high']),frozenset(['buying_med']),0.25
frozenset(['buying_med']),frozenset(['safety_high']),0.33333333333333337
frozenset(['maint_med']),frozenset(['buying_med']),0.25
frozenset(['buying_med']),frozenset(['maint_med']),0.25
frozenset(['buying_low']),frozenset(['lug_boot_med']),0.33333333333333337
